Time (CST),Temp.,Windchill,Dew Point,Humidity,Pressure,Visibility,Wind Dir,Wind Speed,Gust Speed,Precip,Events,Conditions
1998-1-1 12:00 AM,-4.0°C,-,-13.0°C,50%,1020hPa,10.0km,West,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 1:00 AM,-5.0°C,-,-14.0°C,50%,1020hPa,10.0km,WNW,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 2:00 AM,-4.0°C,-8.3°C,-13.0°C,50%,1020hPa,10.0km,West,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 3:00 AM,-6.0°C,-,-15.0°C,50%,1020hPa,10.0km,ENE,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 4:00 AM,-8.0°C,-,-14.0°C,63%,1019hPa,10.0km,East,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 5:00 AM,-9.0°C,-,-14.0°C,68%,1019hPa,10.0km,Calm,Calm,-,N/A,,Clear
1998-1-1 6:00 AM,-11.0°C,-,-16.0°C,67%,1018hPa,6.0km,SE,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 7:00 AM,-11.0°C,-,-16.0°C,67%,1019hPa,5.0km,East,3.6km/h/1.0m/s,-,N/A,,Smoke
1998-1-1 8:00 AM,-12.0°C,-16.4°C,-16.0°C,73%,1019hPa,5.0km,East,7.2km/h/2.0m/s,-,N/A,,Smoke
1998-1-1 9:00 AM,-8.0°C,-,-13.0°C,68%,1020hPa,5.0km,East,3.6km/h/1.0m/s,-,N/A,,Smoke
1998-1-1 10:00 AM,-3.0°C,-,-12.0°C,51%,1020hPa,3.0km,ESE,3.6km/h/1.0m/s,-,N/A,,Smoke
1998-1-1 11:00 AM,0.0°C,-2.5°C,-11.0°C,44%,1020hPa,6.0km,SSE,7.2km/h/2.0m/s,-,N/A,,Clear
1998-1-1 12:00 PM,2.0°C,-0.1°C,-11.0°C,38%,1018hPa,10.0km,WSW,7.2km/h/2.0m/s,-,N/A,,Clear
1998-1-1 1:00 PM,4.0°C,1.3°C,-12.0°C,31%,1016hPa,10.0km,SW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 2:00 PM,5.0°C,2.5°C,-12.0°C,29%,1015hPa,10.0km,SW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 3:00 PM,6.0°C,3.7°C,-12.0°C,27%,1014hPa,10.0km,SW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 4:00 PM,6.0°C,3.7°C,-12.0°C,27%,1013hPa,10.0km,SW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 5:00 PM,5.0°C,3.4°C,-12.0°C,29%,1013hPa,10.0km,WSW,7.2km/h/2.0m/s,-,N/A,,Clear
1998-1-1 6:00 PM,3.0°C,1.0°C,-12.0°C,33%,1013hPa,10.0km,West,7.2km/h/2.0m/s,-,N/A,,Clear
1998-1-1 7:00 PM,2.0°C,-0.1°C,-12.0°C,35%,1013hPa,10.0km,WSW,7.2km/h/2.0m/s,-,N/A,,Clear
1998-1-1 8:00 PM,2.0°C,-1.1°C,-12.0°C,35%,1013hPa,10.0km,WSW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 9:00 PM,0.0°C,-3.5°C,-13.0°C,38%,1014hPa,10.0km,SW,10.8km/h/3.0m/s,-,N/A,,Clear
1998-1-1 10:00 PM,0.0°C,-,-13.0°C,38%,1014hPa,10.0km,SW,3.6km/h/1.0m/s,-,N/A,,Clear
1998-1-1 11:00 PM,0.0°C,-,-13.0°C,38%,1015hPa,10.0km,SW,3.6km/h/1.0m/s,-,N/A,,Clear
